chr,start,end,id,orientation
chr1,36878984,36879002,328,-
chr1,36905067,36905085,329,+
chr1,36904915,36904933,330,+
chr1,37189481,37189499,331,-
chr1,37208917,37208935,332,-
chr1,37251590,37251608,333,+
chr1,37306220,37306238,334,-
chr1,37307704,37307722,335,-
chr1,37315480,37315498,336,+
chr1,37329505,37329523,337,+
chr1,37386175,37386193,338,+
chr1,37458705,37458723,339,-
chr1,37476440,37476458,340,+
chr1,37476487,37476505,341,+
chr1,37505392,37505410,342,+
chr1,37536116,37536134,343,+
chr1,37681213,37681231,344,-
chr1,37691681,37691699,345,-
chr1,37693202,37693220,346,-
chr1,37696198,37696216,347,-
chr1,37711044,37711062,348,-
chr1,37732483,37732501,349,-
chr1,37735431,37735449,350,+
chr1,37735441,37735459,351,+
chr1,37735284,37735302,352,-
chr1,37765313,37765331,353,-
chr1,37776903,37776921,354,-
chr1,37776680,37776698,355,+
chr1,37924102,37924120,356,-
chr1,37960197,37960215,357,+
chr1,37988862,37988880,358,+
chr1,38022569,38022587,359,-
chr1,38022553,38022571,360,+
chr1,38042795,38042813,361,-
chr1,38186968,38186986,362,-
chr1,38242533,38242551,363,+
chr1,38259799,38259817,364,+
chr1,38309727,38309745,365,+
chr1,38364261,38364279,366,-
chr1,38712005,38712023,367,+
chr1,38711888,38711906,368,-
chr1,38768425,38768443,369,+
chr1,38768422,38768440,370,+
chr1,38777322,38777340,371,+
chr1,38824897,38824915,372,-
chr1,38826899,38826917,373,-
chr1,38835321,38835339,374,-
chr1,38844480,38844498,375,-
chr1,38845981,38845999,376,+
chr1,38856373,38856391,377,+
chr1,38856407,38856425,378,-
chr1,38891926,38891944,379,+
chr1,38913229,38913247,380,-
chr1,38919245,38919263,381,+
chr1,38919218,38919236,382,-
chr1,38991724,38991742,383,-
chr1,38993815,38993833,384,-
chr1,39058163,39058181,385,+
chr1,39067721,39067739,386,+
chr1,39190641,39190659,387,-
chr1,39237549,39237567,388,-
chr1,39263977,39263995,389,+
chr1,39274611,39274629,390,+
chr1,39287077,39287095,391,-
chr1,39287022,39287040,392,-
chr1,39310769,39310787,393,-
chr1,39397691,39397709,394,-
chr1,39409783,39409801,395,-
chr1,39409745,39409763,396,+
chr1,39449227,39449245,397,+
chr1,39486063,39486081,398,-
chr1,39489161,39489179,399,-
chr1,39554827,39554845,400,-
chr1,39579591,39579609,401,-
chr1,39584477,39584495,402,+
chr1,39587306,39587324,403,-
chr1,39587222,39587240,404,-
chr1,39671944,39671962,405,+
chr1,39672049,39672067,406,+
chr1,39698681,39698699,407,+
chr1,39707845,39707863,408,-
chr1,39707834,39707852,409,+
chr1,39707761,39707779,410,-
chr1,39737570,39737588,411,-
chr1,39742882,39742900,412,+
chr1,39818459,39818477,413,+
chr1,39968547,39968565,414,+
chr1,39968544,39968562,415,-
chr1,39993573,39993591,416,-
chr1,39993732,39993750,417,-
chr1,40057960,40057978,418,+
chr1,40172304,40172322,419,+
chr1,40173449,40173467,420,+
chr1,40347602,40347620,421,-
chr1,40347626,40347644,422,+
chr1,40350946,40350964,423,-
chr1,40435792,40435810,424,-
chr1,40437089,40437107,425,+
chr1,40601693,40601711,426,-
chr1,40636797,40636815,427,+
chr1,40715014,40715032,428,-
chr1,40821081,40821099,429,-
chr1,40825643,40825661,430,-
chr1,40825827,40825845,431,-
chr1,40825674,40825692,432,+
chr1,40854379,40854397,433,+
chr1,40859798,40859816,434,+
chr1,40901671,40901689,435,-
chr1,40936081,40936099,436,+
chr1,40941980,40941998,437,-
chr1,40941969,40941987,438,+
chr1,40944640,40944658,439,+
chr1,40944638,40944656,440,-
chr1,40981213,40981231,441,-
chr1,41058596,41058614,442,+
chr1,41115312,41115330,443,-
chr1,41162454,41162472,444,+
chr1,41321233,41321251,445,+
chr1,41443477,41443495,446,+
chr1,41867344,41867362,447,+
chr1,42217810,42217828,448,+
chr1,42741811,42741829,449,+
chr1,42741825,42741843,450,+
chr1,42748249,42748267,451,-
chr1,42771562,42771580,452,-
chr1,42836816,42836834,453,-
chr1,42913425,42913443,454,-
chr1,42913035,42913053,455,+
chr1,42972054,42972072,456,+
chr1,43122952,43122970,457,-
chr1,43167599,43167617,458,-
chr1,43169908,43169926,459,+
chr1,43195270,43195288,460,+
chr1,43196636,43196654,461,+
chr1,43321421,43321439,462,-
chr1,43326740,43326758,463,-
chr1,43356485,43356503,464,+
chr1,43568309,43568327,465,+
chr1,43789108,43789126,466,+
chr1,43789172,43789190,467,-
chr1,43789098,43789116,468,+
chr1,43795216,43795234,469,-
chr1,43817144,43817162,470,+
chr1,43956006,43956024,471,+
chr1,44006790,44006808,472,-
chr1,44023680,44023698,473,-
chr1,44098823,44098841,474,-
chr1,44121657,44121675,475,-
chr1,44176788,44176806,476,-
chr1,44176767,44176785,477,-
chr1,44176919,44176937,478,+
chr1,44212309,44212327,479,-
chr1,44225014,44225032,480,+
chr1,44230945,44230963,481,-
chr1,44494840,44494858,482,-
chr1,44608461,44608479,483,+
chr1,45370976,45370994,484,-
chr1,45488918,45488936,485,+
chr1,45488981,45488999,486,-
chr1,45823197,45823215,487,-
chr1,45873911,45873929,488,+
chr1,45873885,45873903,489,+
chr1,46123995,46124013,490,-
chr1,46124074,46124092,491,+
chr1,46482678,46482696,492,-
chr1,46906777,46906795,493,+
chr1,46971495,46971513,494,-
chr1,46971289,46971307,495,-
chr1,46971457,46971475,496,+
chr1,47027552,47027570,497,-
chr1,47334772,47334790,498,+
chr1,50984076,50984094,499,+
chr1,50984231,50984249,500,-
chr1,51019310,51019328,501,+
chr1,51390985,51391003,502,-
chr1,51404615,51404633,503,-
chr1,51516019,51516037,504,+
chr1,51523437,51523455,505,+
chr1,51654024,51654042,506,-
chr1,51657460,51657478,507,-
chr1,51672534,51672552,508,-
chr1,51672536,51672554,509,+
chr1,51695899,51695917,510,+
chr1,51701471,51701489,511,+
chr1,51972906,51972924,512,-
chr1,52001884,52001902,513,-
chr1,52055590,52055608,514,-
chr1,52155903,52155921,515,-
chr1,52203589,52203607,516,+
chr1,52227074,52227092,517,+
chr1,52227158,52227176,518,+
chr1,52273804,52273822,519,-
chr1,52273814,52273832,520,-
chr1,52324606,52324624,521,-
chr1,52359591,52359609,522,-
chr1,52359660,52359678,523,-
chr1,52363980,52363998,524,-
chr1,52363982,52364000,525,+
chr1,52385553,52385571,526,+
chr1,52546811,52546829,527,+
chr1,52687463,52687481,528,-
chr1,52705155,52705173,529,+
chr1,52776128,52776146,530,-
chr1,52776205,52776223,531,+
chr1,52805296,52805314,532,-
chr1,52911064,52911082,533,-
chr1,53012189,53012207,534,-
chr1,53021634,53021652,535,-
chr1,53089601,53089619,536,-
chr1,53110096,53110114,537,+
chr1,53150233,53150251,538,-
chr1,53679423,53679441,539,-
chr1,53761179,53761197,540,-
chr1,53763334,53763352,541,+
chr1,53772487,53772505,542,+
chr1,53805588,53805606,543,-
chr1,53947397,53947415,544,-
chr1,53966128,53966146,545,+
chr1,53984641,53984659,546,-
chr1,54096129,54096147,547,+
chr1,54096126,54096144,548,-
chr1,54419636,54419654,549,-
chr1,54438302,54438320,550,-
chr1,54438576,54438594,551,+
chr1,54534939,54534957,552,-
chr1,54537485,54537503,553,+
chr1,54570871,54570889,554,-
chr1,54723008,54723026,555,+
chr1,54763657,54763675,556,-
chr1,54983295,54983313,557,-
chr1,54991738,54991756,558,+
chr1,55005051,55005069,559,-
chr1,55015558,55015576,560,-
chr1,55069551,55069569,561,-
chr1,55082669,55082687,562,-
chr1,55099279,55099297,563,-
chr1,55139127,55139145,564,+
chr1,55192880,55192898,565,+
chr1,55218955,55218973,566,-
chr1,55237204,55237222,567,+
chr1,55242751,55242769,568,-
chr1,55249837,55249855,569,+
chr1,55296315,55296333,570,+
chr1,55420249,55420267,571,-
chr1,55420614,55420632,572,-
chr1,55420522,55420540,573,-
chr1,55440167,55440185,574,-
chr1,55461388,55461406,575,+
chr1,55504692,55504710,576,-
chr1,55530840,55530858,577,-
chr1,55530843,55530861,578,-
chr1,55530877,55530895,579,+
chr1,55793403,55793421,580,-
chr1,55812776,55812794,581,-
chr1,55895224,55895242,582,-
chr1,55931207,55931225,583,-
chr1,55931773,55931791,584,+
chr1,55943412,55943430,585,+
chr1,55962283,55962301,586,+
chr1,56017322,56017340,587,+
chr1,56810311,56810329,588,+
chr1,57034135,57034153,589,-
chr1,57057418,57057436,590,+
chr1,57262660,57262678,591,-
chr1,57326766,57326784,592,-
chr1,57396182,57396200,593,-
chr1,57451066,57451084,594,-
chr1,57485940,57485958,595,+
chr1,58026975,58026993,596,-
chr1,58027039,58027057,597,+
chr1,58027096,58027114,598,-
chr1,58088218,58088236,599,-
chr1,58088062,58088080,600,-
chr1,58088064,58088082,601,+
chr1,58169828,58169846,602,-
chr1,58169810,58169828,603,-
chr1,58196022,58196040,604,+
chr1,58197637,58197655,605,+
chr1,58213779,58213797,606,+
chr1,58328173,58328191,607,-
chr1,58353355,58353373,608,-
chr1,58353389,58353407,609,+
chr1,58394751,58394769,610,-
chr1,58394835,58394853,611,+
chr1,58453223,58453241,612,-
chr1,58458747,58458765,613,+
chr1,58505451,58505469,614,-
chr1,58555799,58555817,615,-
chr1,58555762,58555780,616,+
chr1,58617407,58617425,617,-
chr1,58617369,58617387,618,+
chr1,58619491,58619509,619,+
chr1,58619481,58619499,620,+
chr1,58636212,58636230,621,-
chr1,58675801,58675819,622,-
chr1,58734623,58734641,623,-
chr1,58803934,58803952,624,-
chr1,58818480,58818498,625,-
chr1,58827092,58827110,626,+
chr1,58859448,58859466,627,-
chr1,59066260,59066278,628,+
chr1,59125020,59125038,629,+
chr1,59127877,59127895,630,+
chr1,59199844,59199862,631,-
chr1,59201564,59201582,632,+
chr1,59294972,59294990,633,-
chr1,59294974,59294992,634,+
chr1,59300792,59300810,635,+
chr1,59304668,59304686,636,+
chr1,59373756,59373774,637,+
chr1,59540845,59540863,638,-
chr1,59540767,59540785,639,+
chr1,59580420,59580438,640,+
chr1,59641669,59641687,641,-
chr1,59666462,59666480,642,+
chr1,59665909,59665927,643,+
chr1,59667974,59667992,644,-
chr1,59670858,59670876,645,+
chr1,59670923,59670941,646,-
chr1,59670872,59670890,647,-
chr1,59680362,59680380,648,-
chr1,59687809,59687827,649,-
chr1,59687541,59687559,650,-
chr1,59687771,59687789,651,+
chr1,59695418,59695436,652,-
chr1,59695382,59695400,653,+
chr1,59718324,59718342,654,-
chr1,59718286,59718304,655,+
chr1,59746495,59746513,656,+
chr1,59776969,59776987,657,-
chr1,59806709,59806727,658,+
chr1,59841107,59841125,659,+
chr1,59919598,59919616,660,+
chr1,59940778,59940796,661,+
chr1,60024335,60024353,662,-
chr1,60052699,60052717,663,-
chr1,60057489,60057507,664,-
chr1,60111687,60111705,665,+
chr1,60111677,60111695,666,+
chr1,60161610,60161628,667,-
chr1,60161572,60161590,668,+
chr1,60480918,60480936,669,+
chr1,60498477,60498495,670,-
chr1,60504136,60504154,671,-
chr1,60591965,60591983,672,-
chr1,60879976,60879994,673,-
chr1,60914348,60914366,674,+
chr1,60914338,60914356,675,+
chr1,60914335,60914353,676,-
chr1,60917670,60917688,677,-
chr1,60925453,60925471,678,-
chr1,61011905,61011923,679,-
chr1,61015307,61015325,680,+
chr1,61018143,61018161,681,-
chr1,61019124,61019142,682,-
chr1,61112180,61112198,683,+
chr1,61158646,61158664,684,+
chr1,61182159,61182177,685,+
chr1,61196210,61196228,686,+
chr1,61238133,61238151,687,+
chr1,61238103,61238121,688,-
chr1,61355008,61355026,689,+
chr1,61434101,61434119,690,+
chr1,61571644,61571662,691,+
chr1,61817996,61818014,692,-
chr1,62013887,62013905,693,-
chr1,62013953,62013971,694,-
chr1,62425103,62425121,695,+
chr1,62743732,62743750,696,-
chr1,62747776,62747794,697,-
chr1,62747929,62747947,698,-
chr1,62769295,62769313,699,+
chr1,62784996,62785014,700,+
chr1,62833013,62833031,701,+
chr1,62833144,62833162,702,+
chr1,62842496,62842514,703,-
chr1,62842364,62842382,704,+
chr1,62866927,62866945,705,-
chr1,62976279,62976297,706,-
chr1,63011069,63011087,707,-
chr1,63013650,63013668,708,-
chr1,63031206,63031224,709,+
chr1,63032997,63033015,710,-
chr1,63135421,63135439,711,-
chr1,63135383,63135401,712,+
chr1,63147675,63147693,713,-
chr1,63157631,63157649,714,-
chr1,63227735,63227753,715,+
chr1,63227845,63227863,716,+
chr1,63229398,63229416,717,+
chr1,63266065,63266083,718,-
chr1,63289028,63289046,719,+
chr1,63450360,63450378,720,+
chr1,63656395,63656413,721,+
chr1,63704762,63704780,722,+
chr1,63706310,63706328,723,+
chr1,64465330,64465348,724,-
chr1,64494860,64494878,725,-
chr1,64508387,64508405,726,-
chr1,64664350,64664368,727,+
chr1,64702532,64702550,728,+
chr1,64702511,64702529,729,-
chr1,64752007,64752025,730,+
chr1,64751936,64751954,731,-
chr1,64756651,64756669,732,-
chr1,64764296,64764314,733,+
chr1,64782637,64782655,734,+
chr1,64782459,64782477,735,+
chr1,64784148,64784166,736,+
chr1,64784175,64784193,737,+
chr1,64784253,64784271,738,+
chr1,64965664,64965682,739,-
chr1,65032939,65032957,740,-
chr1,65056944,65056962,741,-
chr1,65056890,65056908,742,-
chr1,65057094,65057112,743,+
chr1,65093173,65093191,744,+
chr1,65158773,65158791,745,+
chr1,65224972,65224990,746,-
chr1,65226620,65226638,747,+
chr1,65225892,65225910,748,-
chr1,65329541,65329559,749,+
chr1,65356862,65356880,750,+
chr1,65358887,65358905,751,+
chr1,65435051,65435069,752,-
chr1,66702492,66702510,753,-
chr1,66885252,66885270,754,-
chr1,66987726,66987744,755,-
chr1,66987587,66987605,756,-
chr1,67108205,67108223,757,+
chr1,67190711,67190729,758,+
chr1,67227942,67227960,759,+
chr1,67248721,67248739,760,-
chr1,67687122,67687140,761,+
chr1,68153257,68153275,762,+
chr1,69185647,69185665,763,-
chr1,69286156,69286174,764,+
chr1,69288480,69288498,765,+
chr1,69423647,69423665,766,+
chr1,69735785,69735803,767,-
chr1,69804438,69804456,768,-
chr1,69804550,69804568,769,+
chr1,69822376,69822394,770,-
chr1,69831885,69831903,771,+
chr1,69837005,69837023,772,+
chr1,70174799,70174817,773,+
chr1,70316889,70316907,774,+
chr1,70833910,70833928,775,+
chr1,71083732,71083750,776,+
chr1,71093639,71093657,777,-
chr1,71235425,71235443,778,+
chr1,71235463,71235481,779,-
chr1,71336272,71336290,780,+
chr1,71336270,71336288,781,-
chr1,71517660,71517678,782,-
chr1,71552605,71552623,783,-
chr1,71578463,71578481,784,-
chr1,71656184,71656202,785,-
chr1,71722181,71722199,786,+
chr1,71825073,71825091,787,-
chr1,72170416,72170434,788,-
chr1,72188625,72188643,789,-
chr1,72212932,72212950,790,-
chr1,72212821,72212839,791,+
chr1,72213798,72213816,792,-
chr1,72258908,72258926,793,-
chr1,72258968,72258986,794,+
chr1,72258911,72258929,795,+
chr1,72266751,72266769,796,-
chr1,72279369,72279387,797,+
chr1,72299106,72299124,798,-
chr1,72353618,72353636,799,+
chr1,72360403,72360421,800,+
chr1,72427300,72427318,801,+
chr1,72621913,72621931,802,-
chr1,72748580,72748598,803,+
chr1,72763728,72763746,804,+
chr1,72765601,72765619,805,+
chr1,72901673,72901691,806,-
chr1,72901675,72901693,807,+
chr1,72912578,72912596,808,+
chr1,72926028,72926046,809,-
chr1,73321263,73321281,810,-
chr1,73783848,73783866,811,-
chr1,73873068,73873086,812,-
chr1,73873160,73873178,813,-
chr1,73909548,73909566,814,-
chr1,73909819,73909837,815,-
chr1,73948294,73948312,816,+
chr1,73949085,73949103,817,+
chr1,73973015,73973033,818,+
chr1,73973116,73973134,819,+
chr1,74033435,74033453,820,-
chr1,74043026,74043044,821,-
chr1,74124120,74124138,822,-
chr1,74129604,74129622,823,-
chr1,74145036,74145054,824,-
chr1,74171876,74171894,825,-
chr1,74171951,74171969,826,-
chr1,74172053,74172071,827,-
chr1,74178011,74178029,828,-
chr1,74186213,74186231,829,-
chr1,74229713,74229731,830,+
chr1,74242732,74242750,831,-
chr1,74242569,74242587,832,-
chr1,74250262,74250280,833,-
chr1,74252577,74252595,834,+
chr1,74333924,74333942,835,+
chr1,74360075,74360093,836,+
chr1,74373697,74373715,837,-
chr1,74373659,74373677,838,+
chr1,74408579,74408597,839,-
chr1,74408747,74408765,840,-
chr1,74433327,74433345,841,-
chr1,74437317,74437335,842,-
chr1,74437306,74437324,843,+
chr1,74437747,74437765,844,-
chr1,74444129,74444147,845,+
chr1,74444952,74444970,846,-
chr1,74499477,74499495,847,-
chr1,74507030,74507048,848,+
chr1,74690678,74690696,849,+
chr1,74708488,74708506,850,-
chr1,74708374,74708392,851,+
chr1,74770494,74770512,852,+
chr1,74795579,74795597,853,+
chr1,74806602,74806620,854,-
chr1,74809836,74809854,855,+
chr1,74813808,74813826,856,-
chr1,74822581,74822599,857,+
chr1,74823488,74823506,858,-
chr1,74831235,74831253,859,+
chr1,74831211,74831229,860,-
chr1,74831411,74831429,861,+
chr1,74834591,74834609,862,+
chr1,74849683,74849701,863,-
chr1,74849635,74849653,864,+
chr1,74853023,74853041,865,+
chr1,74853162,74853180,866,+
chr1,74854874,74854892,867,-
chr1,74854637,74854655,868,-
chr1,74854800,74854818,869,-
chr1,74854734,74854752,870,-
chr1,74855757,74855775,871,+
chr1,74908555,74908573,872,-
